Timestamp,I felt like the robot and I scored as many points as we could.,There were times when I changed my mind about which diamond to grab.,I often changed which diamond I picked initially because of the robot. ,The robot influenced me to pick good diamonds for the team.,The robot's choice of diamonds made me choose worse diamonds for the team.,I felt like the robot accounted for the diamond I wanted to pick when it was choosing a diamond.,The robot was easy to collaborate with.,I felt like the robot picked the best diamonds to grab for the team.,I felt like the robot hindered the team's performance.,[optional] What strategy did you and the robot use to collect diamonds?,[experimenter will fill out] Enter user ID number
9/3/2023 16:03:36,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,the robot didn't seem to care about what diamond i was choosing and just chose whatever it wanted to,6600
9/4/2023 13:30:58,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,Agree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Agree,"This robot would always pick diamonds close to it regardless of my choice. Knowing this let me predict the robots behavior and adjust my own. I would go for the closest diamond to me that wasnt the diamond the robot was going for. This was an easy collaboration, but maybe not an optimal one.",8544
9/6/2023 11:12:10,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,I think both of us were trying to collect the closest diamonds,7193
9/6/2023 11:46:11,Neither agree nor disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,"I think the robot picked the diamond closest to its current position. I also wanted to pick the diamond closest to me, but sometimes we went for the same diamond and I always had to change course (never the robot in these situations), even if my second closest diamond was much further from me than the robot's second closest diamond.",1977
9/6/2023 12:18:02,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,The robot only consider its closest,5328
9/6/2023 12:45:28,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,"Even though I had to work around the robot, I feel like because the robot would start moving immediately it was easy for me to figure out which diamond it was going for and so I would just target a different one. It felt like it was me working around the robot instead of the robot working around me, but I felt able to adapt quickly. This meant that even though I don't necessarily think we had the most optimized routes, both the robot and I were efficient so we still made up for that loss.",4628
9/6/2023 15:31:30,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,the most nearest diamond,9088
9/6/2023 16:37:02,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,"This time, the robot seemed to decide quickly which diamond it wanted and I tried to find another diamond that didn't conflict. The robot avoided colliding with me though when I accidentally went into its path (thus took me somewhat into consideration).",8340
9/6/2023 17:24:31,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,I wait the robot to choose a diamond first. But it is different from the first robot because it will completely ignore your choice of diamond.,1546
9/6/2023 17:43:01,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,"The robot picked the diamond closest to itself, even if I was moving towards that diamond. I tried to pick the closer diamond from the ones the robot was not collecting",5655
9/6/2023 18:06:36,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,the robot picks whatever the best one for him regardless. i chose another best one for me after i know his move,6380
9/6/2023 18:32:42,Agree,Strongly Agree,Disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Nearest diamond,4595
9/6/2023 18:53:42,Agree,Agree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,"It felt like we were each choosing the diamond that was closest to us. If there were two close to one of us, we chose a convenient diamond such that the other player was traveling a short distance.",3083
9/8/2023 11:20:18,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,"The robot selected the diamond that it was closest to, and I subsequently selected a diamond based on the robot's choice",3507
9/8/2023 11:46:15,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,The robot clearly telegraphed the diamond it preferred So i would pick the best diamond for me given that telegraphed information.,9649
9/8/2023 13:48:29,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,robot seemed to use a greedy solution - the nearest diamond. which sometimes collided with the diamond i wanted to choose,8061
