Timestamp,I felt like the robot and I scored as many points as we could.,There were times when I changed my mind about which diamond to grab.,I often changed which diamond I picked initially because of the robot. ,The robot influenced me to pick good diamonds for the team.,The robot's choice of diamonds made me choose worse diamonds for the team.,I felt like the robot accounted for the diamond I wanted to pick when it was choosing a diamond.,The robot was easy to collaborate with.,I felt like the robot picked the best diamonds to grab for the team.,I felt like the robot hindered the team's performance.,[optional] What strategy did you and the robot use to collect diamonds?,[experimenter will fill out] Enter user ID number
9/3/2023 16:08:06,Strongly Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,i would pick a close diamond and the robot would respond by also picking a different diamond,6600
9/4/2023 13:25:41,Disagree,Strongly Agree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,"I tried to adjust which diamond I went for based on the robots selection, but sometimes the robot would pick the diamond that was clearly closer to me and farther away from it, in which case I either had to wait for it to pick a new diamond, or pick a new diamond myself if it did not change its choice.",8544
9/6/2023 11:18:26,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,I tried to collect the closest. The robot seems to be too conservative and hesitant,7193
9/6/2023 11:56:28,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,"I picked the one closest to me unless I felt like it was better for the robot to pick that one. The robot seemed to change its strategy frequently, so it would look like it was going towards a particular diamond and then change course on the way there, which made it difficult to collaborate with since I could not predict its movements.",1977
9/6/2023 12:23:22,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,"Not sure what strategy the robot is using. It is clever in general, but sometimes it picked bad diamonds.",5328
9/6/2023 12:33:52,Disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,"I usually went for the closest diamond, keeping in mind which diamond was closest to the robot, so that both of ours were maximally optimized. I.e. if the closest diamond to me was also the closest to the robot, but there was another one that was kinda close to me but not the robot, I let the robot take the first one.",4628
9/6/2023 15:44:15,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,"the robots seems will not grab the most nearest one of him, it seems the robot will try it most to avoiding ahead of my trace, and may be it adopt the VO strategy, but doesn't considered the volume of human, only consider the velocity of the human. I just grab the nearest one",9088
9/6/2023 16:31:30,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,I would just go for the nearest diamond and the robot would pick another one that wasn't the one I'd chosen for myself.,8340
9/6/2023 17:12:40,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,I felt it's a good idea to wait for the robot to choose a diamond first and then I will go for another one.,1546
9/6/2023 17:37:49,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,"I tried to pick the diamond closest to me, unless the robot moved towards that one. The robot seemed to choose its diamond before I did, so I took that into account when choosing which diamond to collect. The robot would choose a different diamond if I was already near one. ",5655
9/6/2023 17:55:30,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,finding the diamond with the shortest distance to the current position,6380
9/6/2023 18:43:39,Neither agree nor disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,I pick the nearest one and not the one the robot is heading to,4595
9/6/2023 19:03:12,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,"We were both choosing diamonds that were good for us, but the robot would switch to a different one if it appeared that I was going to choose one that it was going to choose.",3083
