Timestamp,I felt like I could tell the difference between the three different robots.,Rank the robots in order of which you preferred working with. [Brown Robot],Rank the robots in order of which you preferred working with. [Green Robot],Rank the robots in order of which you preferred working with. [Purple Robot],[experimenter will fill out] Enter user ID number
9/3/2023 16:08:30,Strongly Agree,3 [least preferred],1 [most preferred],2,6600
9/4/2023 13:36:57,Strongly Agree,3 [least preferred],2,1 [most preferred],8544
9/6/2023 11:18:29,Strongly Agree,2,3 [least preferred],1 [most preferred],7193
9/6/2023 11:56:32,Agree,2,1 [most preferred],3 [least preferred],1977
9/6/2023 12:23:25,Strongly Agree,3 [least preferred],2,1 [most preferred],5328
9/6/2023 12:45:31,Strongly Agree,1 [most preferred],3 [least preferred],2,4628
9/6/2023 15:44:18,Agree,2,1 [most preferred],3 [least preferred],9088
9/6/2023 16:44:52,Agree,2,3 [least preferred],1 [most preferred],8340
9/6/2023 17:24:34,Strongly Agree,2,3 [least preferred],1 [most preferred],1546
9/6/2023 17:43:04,Strongly Agree,3 [least preferred],1 [most preferred],2,5655
9/6/2023 18:06:37,Strongly Agree,2,3 [least preferred],1 [most preferred],6380
9/6/2023 18:43:42,Strongly Agree,2,3 [least preferred],1 [most preferred],4595
9/6/2023 19:03:14,Strongly Agree,1 [most preferred],2,3 [least preferred],3083
