Timestamp,I felt like the robot and I scored as many points as we could.,There were times when I changed my mind about which diamond to grab.,I often changed which diamond I picked initially because of the robot. ,The robot influenced me to pick good diamonds for the team.,The robot's choice of diamonds made me choose worse diamonds for the team.,I felt like the robot accounted for the diamond I wanted to pick when it was choosing a diamond.,The robot was easy to collaborate with.,I felt like the robot picked the best diamonds to grab for the team.,I felt like the robot hindered the team's performance.,[optional] What strategy did you and the robot use to collect diamonds?,[experimenter will fill out] Enter user ID number
9/3/2023 15:58:52,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,the robot was waiting for me to pick diamonds before going to pick diamonds on its own.,6600
9/4/2023 13:36:08,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,"This robot seemed to wait for me to pick a diamond before committing to a diamond of it's own. This worked well in most cases, except where the new spawned diamond was very close to me and I didnt have to move. In this case, the robot didnt seem to realize my diamond selection until i jiggled my agent.",8544
9/6/2023 11:06:55,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,I collected the diamond closest to me,7193
9/6/2023 11:50:48,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,I picked the diamond closest to me unless I thought it was better for the robot to pick it and I choose the second closest. The robot seemed to wait a little to see what diamond I was heading towards and choose one based on that decision.,1977
9/6/2023 12:13:27,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,pick closet (if it is not the closest to the robot) ,5328
9/6/2023 12:38:15,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,"I still let the robot get the closest one to it when I targeted a diamond initially, but I had much more trust in this robot to go to the closest one as opposed to the last one.",4628
9/6/2023 15:37:03,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,"the robot may be the DWA with human as obstacles, and score which diamonds won't be collected by human , and I just collected the nearest ",9088
9/6/2023 16:44:48,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Disagree,The robot waited for me to pick and start moving toward a diamond before moving to another diamond that didn't conflict. It would even change its initial choice if it conflicted with the one that I chose to go to.,8340
9/6/2023 17:17:48,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,The robot waited me to choose the diamond first and it would go for another one.,1546
9/6/2023 17:32:56,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,"I tried to pick the diamond closest to me, unless the robot moved towards that one. The robot seemed to pick the diamond closest to itself",5655
9/6/2023 18:01:09,Agree,Strongly Agree,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,"the robot waited for me to pick first, then pick another best one. I picked the best one in most cases. However, when i noticed my choice causes the robot being stable, i pick another one so that the robot get to pick",6380
9/6/2023 18:37:35,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree,I avoid the nearest diamond to the robot as I can move faster than the robot,4595
9/6/2023 18:58:09,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,"It felt like the robot waiting for me to make a decision before choosing which diamond it was going to. However, it would sometimes then choose the diamond I was going for anyway.",3083
9/8/2023 11:14:37,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,The robot allowed me to select first and then chose its diamonds accordingly.,3507
9/8/2023 11:30:01,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Go to the closest diamond according to a stable matching solution. I.e. Go to a slightly farther diamond if the robot was closer to my closest diamond.,9649
9/8/2023 13:58:38,Agree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,"the robot waited for me to head in a certain direction, before choosing. nevertheless it may not have been as good as the second robot, as it was slightly slower",8061
9/8/2023 14:07:40,Strongly Agree,Agree,Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,"I went towards the nearest diamond to collect it, and it seemed like the robot would account for my choice and select the next nearest diamond, even if the one I chose was the closest option for the robot.",3327
